Date,Time,Location,Operator,Flight #,Route,AC  Type,Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"November 23, 1931",,"Salt Lake City, Utah",Boeing Air Transport,,,Boeing 40,NC7465,897,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,The mail plane crashed 8 miles west of Salt Lake airport. It is believed the plane overturned while attempting to land in the dark and in a snowstorm.
"November 24, 1931",,"Near Tsinan, China",China National Aviation Corporation,,Nanking - Peiking,Stinson,,,3 (passengers:1 crew:2),3 (passengers:1 crew:2),0.0,Crashed into Chingshan mountain range 10 miles south of Tsinan in fog.
"November 26, 1931",2230,"Pasco, Washington",Varney Air Lines,,"Portland, OR - Pasco, WA",Boeing 40,NC10338,1419,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed in fog while attempting to land.
"December 05, 1931",,"Kewanee, Illinois",Braniff Airways,,Kansas City - Chicago,Lockheed Vega 5,NC433E,49,6 (passengers:5 crew:1),2 (passengers:2 crew:0),0.0,Crashed attempting to land at an alternate airfield in a sleet storm. The plane struck the roof of a barn adjacent to the airfield and was destroyed. Icing.
"December 06, 1931",545,"Bangkok, Thailand",KLM Royal Dutch Airlines,,Djakarta - Amsterdam - Bangkok - Rangoon (Burma),Fokker F-VIIb-3M,PH-AFO,5226,7 (passengers:3 crew:4),5 (passengers:2 crew:3),0.0,"Take off was made with the emergency hatch in cockpit roof open. This spoiled the lift and aircraft didn't become airborne. At the end of the field, the aircraft crashed into a dam."
"December 09, 1931",,Off Algiers,Aeropostale,,Marseille - Algiers,CAMS 56,F-AIOX,3,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,The crew crashed into the sea after a hydraulic failure and fire.
"December 31, 1931",,"Springfield, Ohio",American Airways,,"Port Colombus, OH - Louisville, KY",Fairchild Pilgrim 100A,,,5 (passengers:4 crew:1),4 (passengers:4 crew:0),0.0,"Under orders from his supervisor, the pilot took off in extremely poor weather conditions. After encountering fog he attempted to turn back to the airport but a wing tip struck a knoll and the plane crashed."
"January 21, 1932",,"Colvin Park, Ilinois",Northwest Airways,,"Rockford - Chicago, IL - Madison, WI",Stinson SM-2A,NC443H,1088,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,"The pilot lost his directions in heavy fog. He decided to bail out and abandoned the aircraft. While doing so, he hit the horizontal stabilizer and was killed. The aircraft then crashed into a residential area,"
"January 29, 1932",c 16:00,"Lebec, California",Century Pacific Lines,,"San Francisco - Bakersfield - Los Angeles, CA",Stinson SM-6000B,NC10813,5034,8 (passengers:7 crew:1),8 (passengers:7 crew:1),0.0,"Crashed into a canyon, in mountains, during a blizzard. Wreckage found a week later."
"February 01, 1932",,"Off Miami, Florida",Bimini Airways,,Miami - Bimini,Fairchild,,,5 (passengers:4 crew:1),5 (passengers:4 crew:1),0.0,Disappeared while en route on a 45 minute flight.
"February 02, 1932",,"Rio Vista, California",Boeing Air Transport,,,Boeing 40,NC291,902,2 (passengers:0 crew:2),1 (passengers:0 crew:1),0.0,Struck an irrigation ditch and caught fire during landing.
"February 02, 1932",,"Marcellus, Michigan",Transamerican Airlines,,Chicago - Kalamazoo,Stearman C-3MB,NC6411,161,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,The mail plane crashed in a snowstorm.
"February 27, 1932",,"Off Setiba, Brazil",Aeropostale,,,Latecoere 28,F-AJOX,917,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0.0,Crashed into the ocean after flying into a thunderstorm.
"March 08, 1932",02:00,"Saint Louis, Illinois",Century Air Lines,,Training,Stinson SM-6000B,NC11122,5016,5 (passengers:0 crew:5),3 (passengers:0 crew:3),0.0,"Crashed into a skeleton of an old windmill, 500 yards from the edge of the field while practicing night landings."
"March 19, 1932",1930,"Calimesa, California",American Airways,,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,NC652E,1027,7 (passengers:5 crew:2),7 (passengers:5 crew:2),0.0,The crew reduced altitude in foggy conditions to maintain visual contact with the ground. Crashed into an apple orchard after striking power lines. One survivor died the next day.
"March 21, 1932",,"Steubenville, Ohio",Trans Continental and Western Air,,Columbus - McKeesport,Northrop Alpha 3,NC966Y,9,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,The mail plane pilot drowned when his parachute tangled in the fuselage and he was dragged into the Ohio River after his plane crashed.
"March 29, 1932",,"Rutbah Wells, Iraq",Air Orient,,Damascus - Baghdad - Karachi,Farman F-190,F-AJDP F-AJDP,7120,3 (passengers:1 crew:2),3 (passengers:1 crew:2),0.0,Crashed into the ground during a sand storm.
"March 31, 1932",,"Bedford, Ohio",National Air Transport,,,Boeing 95,NC191E,1054,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed in a storm.
"April 21, 1932",,"Fort Wayne, Indiana",Transamerica Airlines,,,Stearman C-3MB,NC6412,162,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed while in final approach.
"May 16, 1932",,"Burbank, California",Pacific Air Transport,,San Diego - Burbank - Oakland,Boeing 40,NC5589,1042,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0.0,Crashed and burned in fog while attempting to land at Burbank Airport.
"May 30, 1932",1200,"Portland, Oregon",Varney Air Lines,,,Boeing 40,NC830M,1155,2 (passengers:0 crew:2),1 (passengers:0 crew:1),0.0,Crashed in a river after the engine exploded.
"July 16, 1932",c 08:00,"Mount El Plomo, near Vitacura, Chile",Panagra,,"Santiago, Chile - Mendosa, Argentina",Ford 5-AT-C Tri Motor,NC403H,5-AT-062,9 (passengers:6 crew:3),9 (passengers:6 crew:3),0.0,"The aircraft crashed in a severe snowstorm in the Andes Mountains. The wreckage was buried by ice and snow and wasnt found until March 22, 1934."
"August 12, 1932",,"Beyrouth, Lebanon",Air Orient,,Marseille - Naples - Beyrouth - Saigon,CAMS 53,F-AIQY,7,7 (passengers:3 crew:4),0 (passengers:0 crew:0),0.0,Crrashed and sunk while landing in Beyrough harbor.
"August 31, 1932",10,"Tubergen, Germany",A B Aerotransport,,Amsterdam - Hanover - Copenagen - Malmö,Junkers G-23,SE-AAE,836,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,The crew radioed they had problems with engine 3. The crew lowered their altitude and attempted an emergency landing. In low visibility and at night they hit a chimney and crashed.
"September 08, 1932",c:09:00,"Salt Flats, Texas",American Airways,,El Paso - Dallas,Fokker F-10,NC9716,1009,4 (passengers:2 crew:2),3 (passengers:1 crew:2),0.0,The mail plane struck a mountain and burned after encountering poor weather conditions.
"September 17, 1932",600,"Selsdon Park, England",Air Union,,,Liore-et-Olivier 213,F-AIFE,2,2 (passengers:0 crew:2),1 (passengers:0 crew:1),0.0,On approach to Croydon in fog and reduced visibility the plane crashed in a hotel parking lot.
"September 18, 1932",,"Byron Bay, Australia",New England Airways,,Sydney - Lismore - Brisbane,De Havilland DH-80,VH-UPM,2052,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0.0,The left wing and rudder detached in strong winds and turbulence after the pilot made a sharp left turn.
"October 12, 1932",,"Port Etienne, Mauritania",Aeropostale,,Dakar - Port Etienne - Algiers - Paris,Latecoere 28,F-AJIP,905,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed shortly afer taking off.
"October 26, 1932",,"Villa Monte, Bolivia",Lloyd Aero Boliviano,,,Ford Tri-motor 5,,,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,Former American army flyer Donald Duke was killed when his plane carrying Bolivian army supplies crashed.
"October 29, 1932",,"Ramsgate, England",Deutsche Lufthansa,,London - Cologne - Berlin,Junkers W-33,D-2017,,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,The mail plane ditched into the English Channel after encountering 60 mile-an-hour gale force winds.
"November 02, 1932",,"Echterpfuhl, Germany",Deutsche Lufthansa,,Nuremberg - Frankfort,Junkers F-13,D-724,696,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0.0,"Crashed into mountainous terrain in the Spessart mountains in fog, after a wing separated from the aircraft due to overstressing.."
"November 25, 1932",,"Marianna, Arkansas",Hunter Airways,,"Little Rock, AR - Memphis, TN",Travel Air 6000,NC369M,2020,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0.0,Became lost and circled until the plane struck an oak tree and crashed onto a island in the bayou.
"December 14, 1932",,"Amarillo, Texas",Trans Continental and Western Air,,,Ford 5,NC9650,5-AT-037,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,The mail plane crashed in a snowstorm. The pilot died two days later from his injuries.
"December 14, 1932",,"Rocky Ridge, Colorado",Boeing Air Transport,,,Boeing 40,NC281,892,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Struck a mountain when the pilot reduced altitude to maintain contact with the ground.
"December 26, 1932",,"Wau, Australia",Guinea Airways,,,De Havilland DH-60,VH-UMJ,1372,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,The pilot lost control and crashed after attempting an aerobatic maneuver.
"January 10, 1933",,Algiers,Aeropostale,,,CAMS 53,F-AISV,5,3 (passengers:0 crew:3),1 (passengers:0 crew:1),0.0,"On the second attempt at taking off, the float plane struck waves and overturned."
"January 14, 1933",,"Newark, New Jersey",Eastern Air Transport,,Test flight,Curtiss Condor 18,NC185H,1168,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,Went into a vertical bank and crashed and burned.
"January 20, 1933",,"Marietta, Georgia",American Airways,,,Stearman 4,N490W,4039,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed into a mountainside.
"January 20, 1933",02:07,"Bourne, Texas",American Airways,,Big Springs - San Antonio,Stearman 4,NC11721,4039,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,The pilot of the mail plane lost his bearings and crashed into the hillside in poor visibility.
"January 24, 1933",,"Eugene, Oregon",Pacific Air Transport,,,Ford 5-AT-D,NC431H,5-AT-098,3 (passengers:1 crew:2),2 (passengers:0 crew:2),0.0,The mail plane crashed while taking off.
"March 11, 1933",,"Near Mendoza, Argentina",Pan American Grace Airways,,"Mendoza, Argentina - Santiago, Chili",Fairchild FC-2W,NC9723,,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,Crashed and burned.
"March 25, 1933",2007,"Hayward, California",Varney Airlines,,Burbank - San Francisco,Lockheed Orion 9,NC12226,184,3 (passengers:2 crew:1),3 (passengers:2 crew:1),11.0,"The aircraft crashed into tops of two houses and smashed into a third, bursting into flames in heavy rain. An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident. The ceiling suddenly dropped as the plane approached its destination."
"March 28, 1933",14:30,"Near Dixmude, Belgium",Imperial Airways,,"Cologne, Germany - Croydon, England",Armstrong Whitworth Argosy II,G-AACI,AW-363,15 (passengers:12 crew:3),15 (passengers:12 crew:3),0.0,"The airliner was crusing at about 4,000 feet when fire was observed coming out of its tail section. The pilot tried to make an emergency landing but the fuselage split in two causing the aircraft to crash and burn. Although never proven, this is thought to be the first airline disaster caused by an act of satotage. The fire was thought to have been started by a passenger, Dr. Voss, in an attempt to commit suicide. The plane was named Cit y of Liverpool."
"April 03, 1933",,"Hemkenrode, Germany",Deutsche Lufthansa,,,Junkers F-13,D-534,,2 (passengers:1 crew:1),1 (passengers:1 crew:0),0.0,Crashed under unknown circumstances.
"April 04, 1933",1230,"Off Barnegat, New Jersey",Military - U.S. Navy,,,Goodyear-Zeppelin U.S.S. Akron (airship),ZRS-4,,76 (passengers:? crew:?),73 (passengers:? crew:?),0.0,"While cruising at 1,600 feet off New Jersey, strong air currents droped the ship to 700 feet before leveling off. Before it could regain a safe height, it plummeted into the Atlantic Ocean. Decision by the commander to fly into a storm despite the presence of lightning."
"April 23, 1933",740,"Near Castrovillari, Calabria, Italy",Air Orient,,Corfu - Naples,Cams 53-1,F-ALCE,29,8 (passengers:5 crew:3),5 (passengers:2 crew:3),0.0,Crashed into a mountain after encountering a mountain wave..
"April 29, 1933",,"Traunstein, Germany",Eurasia,,,Junkers W-34,D-4,2737,4 (passengers:2 crew:2),4 (passengers:2 crew:2),0.0,Crashed on a test flight before delivery to Eurasia in China.
"May 09, 1933",1500,"Near Viladrau, Spain",Aeropostale - La Tecoere Company,,Paris - Morroco,Latecoere 28-1,F-AJIX,1701,6 (passengers:3 crew:3),6 (passengers:3 crew:3),0.0,Crashed after being forced down to the ground by strong downdrafts.
"June 04, 1933",315,"Bowling Green, Virginia",Eastern Air Transport,,,Pitcairns PA-6,,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,The mail plane had engine faiure and crashed into a ravine.
"June 11, 1933",1700,"Glenview, Illinois",Palwaukee,,Sightseeing,Sikorsky S-38B (flying boat),NC-141M,,9 (passengers:7 crew:2),9 (passengers:7 crew:2),0.0,"After attempting to land in lake Michigan the pilot encounter rough water and aborted the landing. While taking off the right wing separated from the plane due to the previous rough landing,"
"July 18, 1933",1540,Aegean Sea,Societa Anonima Aero Expresso Italiana,,Athens - Rhodes,CMASA Wal (flying boat),I-AZEE,127,6 (passengers:2 crew:4),6 (passengers:2 crew:4),0.0,The float plane was forced to ditch in gale force winds. No trace of the plane or those onboard were ever found.
"August 29, 1933",100,"Quay, New Mexico",Trans Continental and Western Air,,"Amarillo, TX - Albuquerque, NM",Ford 5-AT-B Tri Motor,NC9607,5-AT-005,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0.0,Crashed into a mountain slope during a storm while attempting to make an emergency landing.
"September 12, 1933",,"Near Ljubljana, Yugoslavia",Aeroput,,"Ljubjana - Susak, Croatia",Farman F-306,YU-SAH,,8 (passengers:6 crew:2),8 (passengers:6 crew:2),0.0,Crashed on the grounds of an insane asylum after losing an engine on takeoff.
"October 10, 1933",2100,"Chesterton, Indiana",United Air Lines,,Newark - Cleveland - Chicago - Oakland,Boeing 247,NC13304,1685,10 (passengers:7 crew:3),10 (passengers:7 crew:3),0.0,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. Eyewitnesses on the ground reported hearing an explosion shortly after 9 p.m., and told of seeing the plane in flames at an altitude of about 1,000 feet. A second explosion followed after the plane crashed.This was the first proven case of sabotage in the history of commercial aviation."
"October 31, 1933",1120,"Etobon, France",Air France,,Zurich - Basel - Paris,Farman F-301,F-AJMI,4,5 (passengers:2 crew:3),2 (passengers:1 crew:1),0.0,
"November 09, 1933",2235,"Portland, Oregon",United Air Lines,,"Seattle, WA - Dallas, TX",Boeing 247,NC13345,1772,10 (passengers:7 crew:3),4 (passengers:3 crew:1),,Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.
"November 10, 1933",,"Moriarty, New Mexico",Trans Continental and Western Air,,,Northrop Delta,NC12292,3,1 (passengers:0 crew:1),0 (passengers:0 crew:0),0.0,The pilot bailed out after the engine caught fire. He was not injured.
"November 20, 1933",,"Near Tsinan, China",China National Aviation Corporation,,Canton - Shanghai,Stinson,,,8 (passengers:7 crew:1),8 (passengers:7 crew:1),,Crashed into the Chingshan mountain range in fog.
"November 21, 1933",15:00,"Near Kharkov, Ukraine, USSR",Kalinin,,Test flight,Kalinin K-7,,,20 (passengers:0 crew:20),14 (passengers:0 crew:14),0.0,Crashed due to structural failure during a test flight.
"November 24, 1933",,"Wedron, Illinois",National Air Transport,,,Boeing 247,NC13324,1705,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,Crashed under unknown circumstances.
"December 11, 1933",1600,"Hamburg, Germany",Deutsche Lufthansa,,Berlin - Hamburg,Focke-Wulf A-17,D-1403,47,10 (passengers:8 crew:2),6 (passengers:4 crew:2),0.0,Crashed after striking an obstacle while landing in poor visibility and snow.
"December 14, 1933",,"Eshowe, South Africa",Union Airways,,,Junkers W-34,ZS-AEB,2735,6 (passengers:4 crew:2),5 (passengers:3 crew:2),0.0,Crashed in poor weather conditions while enroute.
"December 30, 1933",c 13:00,"Near Ruysselede, Belgium",Imperial Airways,,"Brussels, Belgium - Croydon, England",Avro 10,G-ABLU,528,10 (passengers:8 crew:2),10 (passengers:8 crew:2),0.0,Crashed into a field in desnse fog after hitting a radio antenna tower which tore off a wing.
"January 15, 1934",1815,"Corbigny, France",Air France,,Saigon - Paris,Dewoitine D-332,F-AMMY,1,14 (passengers:10 crew:4),14 (passengers:10 crew:4),0.0,"The aircraft crashed while en route in a severe snowstorm. Icing. The aircraft was named ""Emeraude."""
"January 20, 1934",,"Carombe, France",Air France,,,Breguet 280T,F-AJKX,,2 (passengers:? crew:?),2 (passengers:? crew:?),0.0,
"February 23, 1934",1415,"Near Salt Lake City, Utah",Boeing Aircraft Company,,Salt Lake City - Cheyenne,Boeing 247,NC13357,1739,8 (passengers:5 crew:3),8 (passengers:5 crew:3),0.0,"Crashed on top of Parley's Canyon, 20 miles from Salt Lake City shortly after taking off for Cheyenne. Pilot error. The crew failed to gain sufficient altitude to clear rapidly rising terrain."
"February 26, 1934",,"Rio de Oro, Morocco",Air France,,,Latécoère 28,F-AJPA,925,6 (passengers:? crew:?),1 (passengers:? crew:?),0.0,
"March 06, 1934",,"Petersburg, Illinois",American Airways,,"St. Louis, MO - Chicago, IL",Fairchild Pilgrim 100A,NC710Y,6606,4 (passengers:3 crew:1),4 (passengers:3 crew:?),0.0,Crashed into a snow drift due to icing in a blizzard.
"March 10, 1934",,"Pereira, Colombia",Pan American Airways (Scadta),,Quiddo - Cartago,Sikorsky S-38 Flying Boat,NC-9107,,6 (passengers:4 crew:2),5 (passengers:3 crew:2),0.0,"Scadta was a Pan Am subsidiary. It was operating a domestic flight, which crashed in the Colombian jungle, which was called ""Green Hell."" Five Goigira Indians, who were canoeing up the Uribe River, found pieces of clothing, and then dead bodies of five people from the crash, and the wreckage of the aircraft. They also found a man who was alive, but dazed, exhausted, half crazy and unable to speak. They carried him for seven days through the jungle to civilization. He later recovered, and his name was Newton C. Marshall, General Manager of South American Gold & Platinum Company. He was the only survivor."
"March 22, 1934",,"Near Lima, Peru",Pan American Grace Airlines,,,Ford 5-AT-C Tri-Motor,NC407H,5-AT-066,15 (passengers:12 crew:3),3 (passengers:0 crew:3),0.0,Crashed on take off due to engine failure.
"April 10, 1934",,"Ningpo Bay, China",China National Aviation Corporation,,,Sikorsky S-38BB,NV17V,,3 (passengers:1 crew:2),3 (passengers:1 crew:2),0.0,
"May 09, 1934",,English Channel,Air France,,"Dieppe, France - New Haven, England",Wibault 282T,F-AMHP,8,6 (passengers:3 crew:3),6 (passengers:3 crew:3),0.0,Crashed into the English Channel and sunk immedately in fog.
"May 31, 1934",500,"Croydon, England",Air France,,"Croydon, England - Paris, France",Liore-et-Olivier 213,F-AIVG,,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,The cargo plane struck an aerial mast and crashed into houses while attempting to take off.
"June 09, 1934",1700,"Mongaup Mountain, New York",American Airways,,New York - Chicago,Curtiss Condor T-32,NC12354,22,7 (passengers:4 crew:3),7 (passengers:4 crew:3),0.0,"Crashed into Last Chance Hill in the Catskill Mountains at an altitude of 2,000 feet in fog and thunderstorms while en route. Pilot deviated from the prescribed course and flew over hazardous terrain."
"June 11, 1934",1100,"Junin, Argentina",Panagra,,Buenos Aires - Santiago,Ford 5-AT-C Tri-Motor,NC8417,5-AT-055,10 (passengers:7 crew:3),6 (passengers:3 crew:3),0.0,"Crashed into Mar Chiquita Lagoon during a heavy rainstorm. The aircraft was named ""San Pedro."""
"June 22, 1934",,"Chausseehausen, Germany",Deutsche Lufthansa,,,Dornier Merkur,D-1445,176,7 (passengers:5 crew:2),1 (passengers:0 crew:1),0.0,Weather related.
"June 23, 1934",600,"Burbank, California",Aerevias Centrales Air Service,,Mexico - Burbank,Lockheed Orion,XA-BEJ,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,Crashed while en route to pick up passengers. The plane crashed near a fire station in heavy fog and burst into flames killing the pilot.
"July 09, 1934",,"San Bernardino, California",United Air Services,,San Bernardion - Los Angeles,Lockheed Vega,NC32E,33,4 (passengers:3 crew:1),3 (passengers:2 crew:1),0.0,Failed to gain altitude and struck a grove of trees while attempting to take off. The plane came to rest in a watermelon patch.
"July 27, 1934",950,"Near Tuttlingen, Germany",Swissair,,Zurich - Stuttgart - Leipzig - Berlin,Curtiss AT-32C Condor,CH-170,53,12 (passengers:9 crew:3),12 (passengers:9 crew:3),0.0,"The aircraft crashed during a violent storm near the Swiss - Germany border. The plane fell from a height of 3,000 feet, bursting into flames. Failure of the right wing caused by fractures in the structure which occurred because of oscillations in the wing."
"August 05, 1934",,"Bahia, Brazil",Air France,,,Latecoere 26,F-AILK,662,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,The crew lost control of the aircraft and crashed while taking off from Bahia while on a mail flight.
"August 10, 1934",,"Ningbo, China",China National Aviation Corporation,,,Sikorsky S-38B,,,? (passengers:? crew:?),? (passengers:? crew:?),,
"August 31, 1934",2245,"Amazonia, Missouri",Rapid Air Transport,6,Kansas City - Saint Joseph - Omaha,Stinson SM-6000B,NC11118,5004,5 (passengers:4 crew:1),5 (passengers:4 crew:1),0.0,The plane crashed about 11 miles from St. Joseph in heavy fog. Pilot error in taking off in dangerous weather conditions and turning too close the the ground in a fog-bound area. Inaccurate weather conditions reported to the pilot.
"October 02, 1934",1050,English Channel,Hillman's Airways,,Croydon - Paris,de havilland 89 Dragon Rapide,G-ACPM,,7 (passengers:6 crew:1),7 (passengers:6 crew:1),0.0,"While overflying The Channel, the pilot encountered poor weather conditions with light rain and fog. He decided to return but due to low visibility and while cruising VFR, he was unable to distinguish the water surface and eventually lost control of the aircraft that crashed into the sea some five km off Folkestone. The pilot""s lack of skill and knowledge in matters of navigation ."
"October 03, 1934",,"Near Winton, Australia",Qantas,,,de Havilland DH-50A,VH-UHE,4,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0.0,"Crashed after in-flight loss of control, possibly stalled at low altitude in dusty low-visibility conditions."
"October 19, 1934",,"Bass Strait, Australia",Holymans Airways,,"Launceston, Tasmania - Melbourne, Australia",de Havilland DH-86,VH-URN,2301,11 (passengers:9 crew:2),11 (passengers:9 crew:2),0.0,Crashed 10 miles off the coast under unknown circumstances
"November 02, 1934",,"Kiapit, Australia",Holdens Air Transport Service,,Rabaul - Kaiapit,De Havilland DH-61,VH-UHW,330,4 (passengers:2 crew:2),2 (passengers:2 crew:0),0.0,"On final approach to Kaiapit, the aircraft was too low and hit a house short of runway and caught fir. The aircraft was named ""Canberra."""
"November 15, 1934",2342,"Amazonia, Montana",Rapid Air Transport,,Omaha - Kansas City,Stinson SM-6000-B,NC10809,5031,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0.0,"While flying at night in marginal weather conditions, the pilot flew too close to the ground hit trees and crashed in flames in a wooded area. The pilot committed an error in judgment in turning too close to the ground in a fog bound area."
"November 15, 1934",,"Near Longreach, Australia",Qantas,,London - Sydney,de Havilland DH-86,VH-USG,2311,4 (passengers:3 crew:1),4 (passengers:3 crew:1),0.0,The aircraft suddenly went out of control and crashed to the ground on its delivery flight from England to Brisbane. Improper loading of parts resulting in an aft center of gravity.
"December 07, 1934",,"Salchau, Germany",Deutsche Lufthansa,,Berlin - Hanover,Junkers F-13,D-OMAS,2008,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0.0,Crashed under unknown circumstances
"December 08, 1934",530,"Columbia, Missouri",Braniff Airlines,,"Kansas City, MO - Chicago, IL",Lockheed Vega 5C,NC106W,123,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,The mail plane crashed to the ground from a low altitude. Icing.
"December 10, 1934",730,"Palma Soriano, Cuba",Cubana de Aviacion,,Havana - Santiago de Cuba,Ford 4-AT-E Tri-motor,NM-7,4-AT-63,8 (passengers:5 crew:3),4 (passengers:2 crew:2),0.0,Crashed into a mountain in poor weater condtions and low visiblity while en route.
"December 20, 1934",333,"Rutbah Wells, Syria",KLM Royal Dutch Airlines,,"Amsterdam - Batavia, Java",Douglas DC-2-115A,PH-AJU,1317,7 (passengers:3 crew:4),7 (passengers:3 crew:4),0.0,"While flying over the Iraqi Desert at night, the crew encountered poor weather conditions and decided to divert to Rutbah Wells. On approach, the aircraft impacted the ground and exploded.16 km from Rutbah Wells airfield. The aircraft was named ""Uiver"" (Dutch word for stork)."
"December 22, 1934",252,"Sunbright, Tennessee",American Airlines,,"Louisville, KY - Nashville, TN",Lockheed Orion 9D,NC12286,198,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,"Crashed into Big Pilot mountain, 50 feet from the top of the summit, four miles from Sunbright, in poor visibility. The battery-generator system failed, thus causing an error in the ship's compass and probably affecting other essential navigation instruments."
"December 31, 1934",,,Aeroflot,,,Tupolev ANT-9,,,10 (passengers:8 crew:2),10 (passengers:8 crew:2),0.0,Crashed under unknown circumstances.
"January 08, 1935",,"Near Karachi, Pakistan",Indian Air Force,,Training,Wapiti,,,2 (passengers:0 crew:2),0 (passengers:0 crew:2),15.0,Crashed into a column of soldiers during training. The crew survived with injuries but 15 soldiers were killed and 11 injured. Later the pilot was court-martialled and dismissed.
"January 26, 1935",,"Pittsburgh, Pennsylvania",Trans Continental and Western Air,,"Newark, NJ - Columbus, OH",Consolidated Fleetster,NC13212,,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,The mail plane crashed and burned soon after taking off in a blinding snowstorm.
"January 31, 1935",1900,"Stettin, Germany",Deruluft,,Koenigberg - Berlin,Junkers JU-52/3m,D-AREN,4051,11 (passengers:8 crew:3),11 (passengers:8 crew:3),0.0,"Crashed full speed into a hill, 450 feet high in rain and fog. Icing."
"February 12, 1935",,"Off Point Sur, Californiia",Military - US Navy,,,Goodyear-Zeppelin U.S.S. Macon (airship),ZRS-4,,83 (passengers:0 crew:83),2 (passengers:0 crew:2),0.0,The airship suffered structural failure in a storm. The airship descended slowly and most of the crew were able to escape. This accident ended the US Navy's airship program.
"March 07, 1935",,"Schievelbein, Germany",Deruluft,,,Rochrbach Roland,D-AJYP,45,3 (passengers:0 crew:3),0 (passengers:0 crew:0),0.0,Fuselage failure forced an emergency landing in a field.
"March 15, 1935",,"El Arish, Egypt",Misrair,,Jerusalem - Cairo,de Havilland Dragon 1,SU-ABI,6031,6 (passengers:5 crew:1),3 (passengers:2 crew:1),0.0,"After flying over the airport into a strong headwind, in an attempt to land, one of the aircraft's two engines failed. While attempting to return to the airport the pilot headed into the strong wind and lost airspeed until he stalled and crashed from a height of 100 - 130 feet."
"March 29, 1935",,"Off Samland, Germany",Deutsche Lufthansa,,Training,Junkers F-13,D-OHIL,,5 (passengers:0 crew:5),5 (passengers:0 crew:5),0.0,"The crew,(3 student pilots and 2 instructors were performing a training flight over Baltic Sea when the aircraft crashed into the sea for reasons unknown."
"April 01, 1935",45,"Beauvais, France",Air France,,,Farman F-300,F-ALHQ,7243-2,3 (passengers:0 crew:3),1 (passengers:0 crew:1),0.0,"Shortly after departure, the captain decided to return to Paris because of low visibility. The aircraft hit a tree and crashed in an open field. The chief pilot of Air France, Robert Bajac, 36, was killed. Blame was placed on the aircraft which was found to be unstable in flight."
"April 06, 1935",1518,"Brilon, Germany",KLM Royal Dutch Airlines,,Prague Leipzig Essen Amsterdam Rotterdam,Fokker F-12,PH-AFL,5242,7 (passengers:2 crew:5),7 (passengers:2 crew:5),0.0,"Crashed after the pilot tried to maintain visual contact with the ground in heavy fog and snow. The plane was named ""Leeuwerik."" The pilot was unable to distinguish the ground from the surroundings and to establish his real position to continue then flight in a safely manner."
"May 01, 1935",1045,"Near Walsenberg, Colorado",Varney Air Lines,,Pueblo - El Paso,Lockheed Vega,NC891E,73,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0.0,"Crashed at Rattlesnake Butte after the plane lost engine power. James Montijo, 40, the man who taught Amelia Earhart to fly, killed. The accidental collision with the ground while doing low flying in violation of the Air Commerce Regulations."
