"","Date","Time","Location","Operator","Flight #","Route","AC  Type","Registration","cn / ln","Aboard","Fatalities","Ground","Summary","formatted_date","formatted_time","total_aboard","passengers_aboard","crew_aboard","total_fatalities","passengers_fatalities","crew_fatalities","fixed_location","latitude","longitude"
"1766","April 23, 1959","946","Van, Turkey","Air Charter",NA,"London - Ankara - Bahrain","Avro 688 Super Trader","G-AGRH","1256","12 (passengers:0 crew:12)","12 (passengers:0 crew:12)",0,"The cargo plane aircraft, flying on instruments, drifted north of its normal track because of strong winds and crashed into Mt. Suphan. The winds were stronger than forecast. An accurate bearing could not be obtained at Mus and Van had not been checked. Sub-normal temperatures would result in a high indicated altimeter reading. Calculations on the flight and contacts with beacons were not coordinated and controlled.",1959-04-23,09:46:00,12,0,12,12,0,12,"Van, Turkey",38.503493,43.396448
"1767","April 29, 1959","1700","Valdemeca, Spain","Iberia Airlines",NA,"Barcelona - Madrid","Douglas DC-3","EC-ABC","19334","28 (passengers:25 crew:3)","28 (passengers:25 crew:3)",0,"Crashed into the east slopes of Sierra de Valdemeca after being diverted due to poor weather. Joaquin Blume, Spain's European gymnastics champion, killed. Unfavorable weather made it necessary to deviate from the planned route.",1959-04-29,17:00:00,28,25,3,28,25,3,"Valdemeca, Spain",40.2237377,-1.7410866
"1768","May 02, 1959","2212","Mallorca, Spain","Austria-Flugdienst",NA,"Palma de Mallorca - Wien","Douglas DC-3","OE-FDA","12210","5 (passengers:2 crew:3)","5 (passengers:2 crew:3)",0,"Two minutes after reporting at 3,000feet the aircraft struck Alfabia peak at 3,300 feet. Insufficient altitude while flying at normal climb power.",1959-05-02,22:12:00,5,2,3,5,2,3,"Mallorca, Spain",39.6078,3.01197
"1769","May 12, 1959","1613","Chase, Maryland","Capital Airlines","75","New York City - Atlanta","Vickers Viscount 745D","N7463","287","31 (passengers:27 crew:4)","31 (passengers:27 crew:4)",0,"Disintegrated in-flight due to severe turbulence after penetrating a thunderstorm. Icing. A farmhand observed a large chuck of ice fall from the plane seconds before the crash. A second plane crash involving Capital Airlines occurred at Charleston, WV on this same day.",1959-05-12,16:13:00,31,27,4,31,27,4,"Chase, Maryland",38.948764,-76.489011
"1770","May 12, 1959","1529","Charleston, West Virginia","Capital Airlines","983","Pittsburg - Charleston","Lockheed C-69 Constellation","N2735A","1978","44 (passengers:38 crew:6)","2 (passengers:1 crew:1)",0,"The pilot intentionally ground looped the aircraft, which slid down a steep embankment caught fire and burned. Landing too fast on a wet runway under conditions conductive to aquaplaning.",1959-05-12,15:29:00,44,38,6,2,1,1,"Charleston, West Virginia",38.351194,-81.638362
"1771","May 13, 1959",NA,"Near Toumavista, Peru","Transportes Aereos Peruanos",NA,"Lima - Pucallpa","Curtiss C-46A","OB-WBP-507","26829","12 (passengers:10 crew:2)","12 (passengers:10 crew:2)",0,"Crashed into the slope of a mountain while en route.",1959-05-13,NA,12,10,2,12,10,2,"Toumavista, Peru",-8.9317979,-74.7042798
"1772","May 15, 1959","2042","Off Mar del Plata, Aregntina","Aerolineas Argentinas",NA,"Mar del Plata - Bahia Blanca","Douglas DC-3","LV-AFW","19790","10 (passengers:6 crew:4)","10 (passengers:6 crew:4)",0,"Crashed into the sea during a steep turn following a takeoff at night. Undetermined cause.",1959-05-15,20:42:00,10,6,4,10,6,4,"Mar del Plata, Aregntina",-37.9969746,-57.5491039
"1773","May 21, 1959",NA,"Moro, Peru","Lineas Aéreas Interpolar",NA,"Miami - Panama City - Talara - Arica","Curtiss C-46A-50-CU","CC-CIA-497","30482","8 (passengers:4 crew:4)","8 (passengers:4 crew:4)",0,"Crashed into a mountain while en route..",1959-05-21,NA,8,4,4,8,4,4,"Moro, Peru",-9.1373686,-78.1824671
"1774","June 01, 1959",NA,"Nicaragua","Aerolineas Nacionales",NA,NA,"Curtiss C-46","TI-1020",NA,"60 (passengers:55 crew:5)","60 (passengers:55 crew:5)",0,"The plane, carrying Nicaraguan rebels was shot down by a Nicaraguan Air Force fighter.",1959-06-01,NA,60,55,5,60,55,5,"Nicaragua",12.934455771,-85.006212514
"1775","June 05, 1959",NA,"Near Sheyma, Alaska","Militiary - US Air Force",NA,"Reconnaissance","Boeing RC-135E",NA,NA,"19 (passengers:? crew:?)","19 (passengers:? crew:?)",0,"Thirty minutes after taking off from Sheyma, ""Rivit Amber"" radioed ""experiencing vibration in flilght. Not certain of emergency. This was the last radio contact with the plane. The aircraft crashed at sea.",1959-06-05,NA,19,NA,NA,19,NA,NA,"Sheyma, Alaska",52.72221,174.11223
"1776","June 12, 1959",NA,"Sandy Lake, Ontario","Tranair",NA,NA,"Noorduyn Norseman","CF-BHX","N29-12","8 (passengers:7 crew:1)","8 (passengers:7 crew:1)",0,"Shortly after takeoff from Sandy Lake, the single engine aircraft stalled and crashed in a wooded area. The aircraft was destroyed and all eight occupants were killed. It was reported that a non-authorized person was sitting in the left seat in the cockpit at the time of the accident.",1959-06-12,NA,8,7,1,8,7,1,"Sandy Lake, Ontario",46.63333,-84.14083
"1777","June 23, 1959","1930","Cerros Baco, Peru","AVIANCA",NA,"Bogota - Lima","Douglas DC-4","HK-135","10418","14 (passengers:10 crew:4)","14 (passengers:10 crew:4)",0,"Crashed into the slope of Cerro Baco located about 12 km northwest of Huaricanga.",1959-06-23,19:30:00,14,10,4,14,10,4,"Cerros Baco, Peru",-10.43333,-77.85
"1778","June 26, 1959","1735","Near Varese, Lombardia, 20 miles NW of Milan, Italy","Trans World Airlines","891","Milan - Paris","Lockheed 1649A Starliner","N7313C","1015","68 (passengers:59 crew:9)","68 (passengers:59 crew:9)",0,"While flying from Athens to Chicago, the No. 6 and 7 fuel tanks in the right wing exploded during a storm. Ignition of gasoline vapors emanating from fuel tank vent pipes by static discharge after the airliner was hit by lightning.",1959-06-26,17:35:00,68,59,9,68,59,9,"Varese, Lombardia, 20 miles NW Milan, Italy",45.482596017179,9.223841796268
"1779","June 30, 1959","1035","Ishikawa City, Ryukyu Island, Okinawa","Military - U.S. Air Force",NA,NA,"North American F-100D-25NA","55-3633A",NA,"1 (passengers:0 crew:1)","0 (passengers:0 crew:0)",17,"The pilot ejected and parachuted safely from the aircraft after the engine caught fire and the aircraft became uncontrollable. The plane crashed into the Miyamori Primary School compound and the surrounding neighborhood killing 17, of which 11 were students, and injuring another 181. Because of the subsequent fire in the aftermath of the crash another 158 persons (28 families) were made homeless.",1959-06-30,10:35:00,1,0,1,0,0,0,"Ishikawa City, Ryukyu Island, Okinawa",26.42346924,127.82419828
"1780","July 15, 1959",NA,"Kuwait City, Kuwait","PAS",NA,"Kuwait City - Tehran","Avro 685 York","EP-ADE","MW295","32 (passengers:27 crew:5)","32 (passengers:27 crew:5)",NA,"Shortly after takeoff from Kuwait City Airport and while climbing, the aircraft stalled and crashed in the desert 6 km from the airfield.",1959-07-15,NA,32,27,5,32,27,5,"Kuwait City, Kuwait",29.355337252,47.612165881
"1781","August 03, 1959","1030","Sagone, India","Kalinga Airlines",NA,"Mohanbari - Along","Douglas DC-3","VT-DGP","9549","6 (passengers:3 crew:3)","6 (passengers:3 crew:3)",0,"The cargo plane crashed while en route. Navigational error. The pilot entered a wrong valley and stalled the fully loaded aircraft while attempting to turn back.",1959-08-03,10:30:00,6,3,3,6,3,3,"Sagone, India",22.205608,79.005345
"1782","August 14, 1959","2214","Karachi, Pakistan","Pakistan International Airlines",NA,"Training","Vickers 815 Viscount","AP-AJE","337","3 (passengers:0 crew:3)","2 (passengers:0 crew:2)",0,"The trainee captain attempted a maneuver in disregard of the prescribed limitations of such a maneuver. A two-engine overshoot was attempted at a very low height and below the prescribed minimum speed, when the aircraft was committed to a landing. This resulted in a violent yaw and sharp drop which could not be controlled. The training captain was conversant with the minimum requirements of a two-engine overshoot of the Viscount 815 aircraft but appears to have overestimated his performance.",1959-08-14,22:14:00,3,0,3,2,0,2,"Karachi, Pakistan",24.8608,67.0104
"1783","August 15, 1959","1642","Calverton, New York","American Airlines","514","Training","Boeing 707-123","N7514A","17641/36","5 (passengers:0 crew:5)","5 (passengers:0 crew:5)",0,"The crew failed to recognize and correct the development of excessive yaw which caused an unintentional rolling maneuver at an altitude too low to permit complete recovery.",1959-08-15,16:42:00,5,0,5,5,0,5,"Calton, New York",44.595151,-75.171094
"1784","August 19, 1959","1710","Near Barcelona, Spain","Transair",NA,"Barcelona - London","Douglas DC-3","G-AMZD","16112/3286","32 (passengers:29 crew:3)","32 (passengers:29 crew:3)",0,"Nineteen minutes after taking off and while climbing, the aircraft entered a cloud and struck Mt. Monseny. Pilot did not follow prescribed regulations.",1959-08-19,17:10:00,32,29,3,32,29,3,"Barcelona, Spain",41.387917,2.1699187
"1785","August 27, 1959",NA,"Near Asuncion, Paraguay","Aerolineas Argentinas",NA,"Buenos Aires - Asunción","de Havilland DH-106 Comet 4","LV-AHP","6411","50 (passengers:44 crew:6)","2 (passengers:1 crew:1)",0,"The aircraft descended below MDA and crashed 5 miles short of the runway while on approach to Asuncion. The crew led the aircraft pass below the glide in marginal weather conditions and continued the approach at an insufficient altitude, against published procedures.",1959-08-27,NA,50,44,6,2,1,1,"Asuncion, Paraguay",-25.2999996,-57.6299999
"1786","September 02, 1959","1716","Abilene, Texas","Aaxico Airlines",NA,"Abilene, TX - Forth Worth, TX","Curtiss C-46A","N5140B","26809","2 (passengers:0 crew:2)","2 (passengers:0 crew:2)",0,"The cargo plane took off, rose to 200 ft., stalled and crashed. Elevator control lost. The aft link assembly became disconnected from the clevis in the elevator control horn assembly when an improperly secured bolt backed out.",1959-09-02,17:16:00,2,0,2,2,0,2,"Abilene, Texas",32.4535712,-99.7326403
"1787","September 08, 1959",NA,"Poza Rica, Mexico","Mexicana",NA,"Mexico City - Merida","Douglas DC-3",NA,NA,"16 (passengers:13 crew:3)","1 (passengers:1 crew:0)",0,"An in-flight explosion occurred in the passenger cabin. A male passenger, who was believed to have been carrying a bomb, fell from the airplane from an altitude of 11,000ft. A forced landing was made at Poza Rica after a fire broke out in the cabin.",1959-09-08,NA,16,13,3,1,1,0,"Poza Rica, Mexico",20.53315,-97.45946
"1788","September 12, 1959","415","Near Tegucigalpa, Honduras","Pan American World Airways",NA,"San Salvador - Miami","Douglas DC-4","N88900","10504","3 (passengers:0 crew:3)","3 (passengers:0 crew:3)",0,"Shortly after taking off, the cargo plane deviated from it's intended course and struck a mountain, for reasons unknown.",1959-09-12,04:15:00,3,0,3,3,0,3,"Tegucigalpa, Honduras",14.10576,-87.2042
"1789","September 23, 1959","1840","Sao Paulo, Brazil","VASP",NA,"Sao Paulo - Rio de Janeiro","Saab Scandia 90A-1","PP-SQV","106","20 (passengers:16 crew:4)","20 (passengers:16 crew:4)",0,"Crashed a few minutes after taking off from Sao Paulo Airport. Cause undetermined.",1959-09-23,18:40:00,20,16,4,20,16,4,"Sao Paulo, Brazil",-23.5486657,-46.6382522
"1790","September 24, 1959","1720","Great Sitkin Island, Alaska","Reeve Aleutian Airlines","3","Shemya - Cold Bay - Adak - Anchorage","Douglas C-54B","N63396","10486","16 (passengers:11 crew:5)","16 (passengers:11 crew:5)",0,"Crashed into a mountain while on approach to Adak. Improper approach. Crew error. Pilot did not fly in accordance with visual flight rules over hazardous terrain.",1959-09-24,17:20:00,16,11,5,16,11,5,"Great Sitkin Island, Alaska",52.05806,-176.11944
"1791","September 24, 1959","2324","Bordeaux, France","T.A. Intercontinentaux (France)",NA,"Paris - Bordeaux - Bamako - Abidjan","Douglas DC-7C","F-BIAP","45366/892","65 (passengers:56 crew:9)","54 (passengers:45 crew:9)",0,"Crashed shortly after takeoff, not gaining altitude and colliding with trees. Loss of an engine. Crew did not properly monitor altimeter.",1959-09-24,23:24:00,65,56,9,54,45,9,"Bordeaux, France",44.837898313,-0.579380299
"1792","September 29, 1959","2309","Buffalo, Texas","Braniff Airlines","542","Houston - Dallas","Lockheed 188A Electra","N9705C","1090","34 (passengers:28 crew:6)","34 (passengers:28 crew:6)",0,"In-flight separation of the left wing resulted in the aircraft crashing 3 miles southeast of Buffalo, Texas. A design flaw caused an oscillation known as mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. One of two accidents with the same cause. See 3/17/1960.",1959-09-29,23:09:00,34,28,6,34,28,6,"Bualo, Texas",29.228399,-98.784859
"1793","October 06, 1959",NA,"Paloemeu, Suriname","Kappel-Van Eyck Airways",NA,"Paramaribo, Suriname - Paloemeu, Suriname","Aero Commander AC 520",NA,NA,"2 (passengers:0 crew:2)","2 (passengers:0 crew:2)",0,"The aircraft was on a government mission to supply contractors near Paloemeu with food and equipment. While searching for a drop point in the jungle, in heavy fog, the plane crashed into a hill.",1959-10-06,NA,2,0,2,2,0,2,"Paloemeu, Suriname",3.34468,-55.44139
"1794","October 23, 1959","2210","Near Moscow, Russia","Aeroflot","200","Baku - Moscow","Ilyushin IL-14P","CCCP-41806","6341709","28 (passengers:23 crew:5)","28 (passengers:23 crew:5)",0,"Crashed on approach. Crew's handling of the plane led to a premature loss of altitude and collision with obstacles. Crew fatigue,",1959-10-23,22:10:00,28,23,5,28,23,5,"Moscow, Russia",55.7565408,37.6149202
"1795","October 26, 1959","2018","Santa Maria, California","Pacific Air Lines","308","Los Angeles - Oxnard - Santa Maria - Paso Robles","Douglas C-47A-DL","N67589","19656","19 (passengers:17 crew:2)","1 (passengers:0 crew:1)",1,"Moments after rotation the left engine exploded and caught fire. The elevator of the plane hit a 12,000 volt powerline and crash landed upright sliding 65 feet. The only fatality was the first officer who was thrown clear of the accident still strapped to his seat. The number 5 cylinder of the left engine failed leading to an explosion that deformed the left engine's ring cowl to a degree that cause excessive drag and buffeting that made sustained flight impossible. Maintenance records showed the engine had a troubling number of oil leaks.",1959-10-26,20:18:00,19,17,2,1,0,1,"Santa Maria, Caliornia",34.948403,-120.435881
"1796","October 30, 1959","2040","Waynesborough, Virginia","Piedmont Airlines","1349","Washington DC - Charlottsville, VA","Douglas DC-3","N55V","20447","27 (passengers:24 crew:3)","26 (passengers:23 crew:3)",0,"Crashed into Bucks Elbow Mountain during an ILS approach to Charlottesville Airport. Navigational omission resulting in an off course approach. It took thirty-six hours before the lone survivor was rescued. A navigational omission which resulted in a lateral course error that was not detected and corrected through precision instrument flying procedures. A contributing factor to the accident may have been pre-occupation of the captain resulting from mental stress.",1959-10-30,20:40:00,27,24,3,26,23,3,"Waynesborough, Virginia",38.06847,-78.88947
"1797","October 30, 1959","1525","Athens, Greece","Olympic Airways","214","Athens - Thessaloniki","Douglas DC-3","SX-BAD","9491","18 (passengers:15 crew:3)","18 (passengers:15 crew:3)",0,"Engine failure on takeoff. The plane crashed 5 minutes later. Failure of the gudgeon pin bearing of the No.6 piston of the left engine.",1959-10-30,15:25:00,18,15,3,18,15,3,"Athens, Greece",37.9753357,23.7361497
"1798","November 04, 1959","2307","St. Cleophas, Quebec, Canada","Wheeler Airlines","1658","Montreal - Hall Lake","Douglas C-54A","CF-ILI","10360","5 (passengers:0 crew:5)","5 (passengers:0 crew:5)",0,"The cargo plane exploded in midair while en route after an engine fire. The possible failure of the fire detection and warning system to inform the pilot of the existence of a fire before it had penetrated the firewall and ignited the fuel feed system and oil tank to the rear of no.2 engine.",1959-11-04,23:07:00,5,0,5,5,0,5,"St. Cleophas, Quebec, Canada",48.492501,-67.743253
"1799","November 16, 1959","1906","Lvov, Ukraine, USSR","Aeroflot","315","Moscow - Kiev - Lvov","Antonov AN-10","CCCP-11167","9401402","40 (passengers:32 crew:8)","40 (passengers:32 crew:8)",0,"Loss of control in icing conditions when the flaps were downed to 45° on approach, apparently due to an excessive accumulation of ice on wings and stabs. The distance between the aircraft and the ground was insufficient to expect a recovery.",1959-11-16,19:06:00,40,32,8,40,32,8,"Lvov, Ukraine, USSR",49.83826,24.02324
"1800","November 16, 1959","55","Gulf of Mexico","National Airlines","967","Tampa - New Orleans","Douglas DC-7B","N4891C","45355","42 (passengers:36 crew:6)","42 (passengers:36 crew:6)",0,"The aircraft crashed into the Gulf of Mexico at 29 degrees 13 minutes N, 88 degrees 40 minutes W or about 108 miles east-southeast of New Orleans, while on a flight from Tampa to New Orleans. Sabotage (explosion of a dynamite bomb aboard) was strongly suspected but could never be proven due to lack of physical evidence. There is a possibility that there is a connection between this crash and the National Airlines crash of January 6, 1960. No one was charged in either case.",1959-11-16,00:55:00,42,36,6,42,36,6,"Gul of Mexico",19.1972914,72.8479953
"1801","November 21, 1959",NA,"Beirut, Lebanon","Ariana Afghan Airlines","202","Beirut - Tehran","Douglas DC-4","YA-BAG","18367","27 (passengers:22 crew:5)","24 (passengers:19 crew:5)",0,"Crashed shortly after takeoff, 2.5 miles from Beirut Airport. Navigation error. Possible in-flight fire in the No. 1 engine which induced the pilot to start fire emergency action with a resulting reduction in the rate of turn and the rate of climb.",1959-11-21,NA,27,22,5,24,19,5,"Beirut, Lebanon",33.8880651,35.5039614
"1802","November 24, 1959","535","Chicago, Illinois","Trans World Airlines","595","Chicago - Denver - Los Angeles","Lockheed L-1049H Super Constellation","N102R","4824","3 (passengers:0 crew:3)","3 (passengers:0 crew:3)",8,"Shortly after taking off the plane experienced a fire warning in the No. 2 engine, shut it down and attempted to return to Midway Airport. During the final approach the aircraft banked in excess of 45 degrees and developed an excessive sink rate. When the aircraft reached the tops of trees its wings were nearly level and its nose was raised in a climbing attitude but the descent continued and the plane crashed one quarter of a mile southeast of the airport. The accident was the consequence of manuvering the aircraft during the turn to final approach in such a manner as to cause a rate of sink from which recovery was not possible. Sometime during the turn the flaps were retracted from 60% to 24% causing a loss of lift.",1959-11-24,05:35:00,3,0,3,3,0,3,"Chicago, Illinois",41.883229,-87.632398
"1803","December 01, 1959","947","Willamsport, Pennsylvania","Allegheny Airlines","371","Harrisburg - Willamsport","Martin 202","N174A","9159","26 (passengers:22 crew:4)","25 (passengers:21 crew:4)",0,"Crashed into Bald Eagle Mountain,13 miles south of Williamsport, while on an ILS approach to Williamsport. Probable accidental caging of the fluxgate compass leading to a erroneous heading indication. Captain's failure to execute a timely abandoned approach. There was one passenger who survived.",1959-12-01,09:47:00,26,22,4,25,21,4,"Willamsport, Pennsylvania",41.241489,-77.04192
"1804","December 08, 1959","16:57","Off Cartagena, Colombia","Sociedad Aeronautica Medellin",NA,"San Andres Island - Cartagena","Curtiss C-46A","HK-515","26941","45 (passengers:42 crew:3)","45 (passengers:42 crew:3)",0,"Disappeared en route. Right landing gear found on Moron Island. Cause undetermined.",1959-12-08,16:57:00,45,42,3,45,42,3,"Cartagena, Colombia",10.39972,-75.51444
"1805","December 13, 1959","928","Near Tashkent, Uzbekistan, USSR","Aeroflot",NA,"Kabul - Tashkent","Ilyushin IL-18","CCCP-91577","147001416","29 (passengers:24 crew:5)","29 (passengers:24 crew:5)",0,"Crashed into a mountain while en route. Crew error. The crew deviated from prescribe route. The captain decided to continue under VFR in IMC conditions and at the time of the accident, the aircraft was about 40 to 50 km off course to the right of the intended route.",1959-12-13,09:28:00,29,24,5,29,24,5,"Tashkent, Uzbekistan, USSR",41.3152751,69.2891866
"1806","December 17, 1959","1620","Ketchikan, Alaska","California Aircraft",NA,"Juneau - Annette Island","Consolidated PBY-5A Catalina","N64T","2102","3 (passengers:0 crew:3)","3 (passengers:0 crew:3)",0,"The cargo plane cashed en route after reporting engine trouble.",1959-12-17,16:20:00,3,0,3,3,0,3,"Ketchikan, Alaska",55.3419424,-131.6427601
"1807","December 21, 1959","816","Rome, Italy","Alitalia",NA,"Training","Vickers 785D Viscount","I-LIZT","378","2 (passengers:0 crew:2)","2 (passengers:0 crew:2)",0,"Crashed into a hanger during a practice landing. The accident was attributed to a balked landing maneuver carried out below the speed limits for safe directional control of the aircraft during a critical situation that developed in the last phase of the landing in the course of a simulated emergency exercise with two power units inoperative.",1959-12-21,08:16:00,2,0,2,2,0,2,"Rome, Italy",41.8905568,12.4942679
"1808","December 22, 1959","1340","Rio de Janeiro, Brazil","VASP","233","Rio de Janeiro - Sao Paulo","Vickers Viscount 827 / Fokker T-21","PP-SRG / 0742","401","32 (passengers:26 crew:6)","32 (passengers:26 crew:6)",10,"A midair collision took place between a Vickers Viscount and a Brazilian Air Force Fokker T-21 trainer, as the Viscount made an approach to land. The pilot of the trainer parachuted to safety. All 32 aboard the Viscount were killed when it crashed into several houses in the district of Ramos. Failure of both pilots to see and avoid each other. Apparently, the pilot of the trainer aircraft was not supposed to cross the approach path of the Viscount.",1959-12-22,13:40:00,32,26,6,32,26,6,"Rio de Janeiro, Brazil",-22.9014475,-43.1789159
"1809","December 24, 1959","500","Palembang, Indonesia","Garuda Indonesia Airlines","330","Palembang - Jakarta","Douglas C-47A","PK-GDV","13535","2 (passengers:0 crew:2)","1 (passengers:0 crew:1)",0,"Shortly after takeoff the cargo plane lost the No. 2 engine, tried to return to the airport but crashed. Failure of the right engine, a lack of precaution on the part of the captain and marginal weather. A contributing factor may have been the overloaded condition of the aircraft, however, not to such an extent that it forced the aircraft to descend to a dangerously low altitude.",1959-12-24,05:00:00,2,0,2,1,0,1,"Palembang, Indonesia",-2.987965,104.760314
"1810","December 31, 1959",NA,"Near San Jose de Chiquitos, Bolivia","Lloyd Aereo Boliviano",NA,"San José de Chiquitos - La Paz","Douglas DC-3","CP-584","19226","11 (passengers:7 crew:4)","11 (passengers:7 crew:4)",0,"Crashed on takeoff.",1959-12-31,NA,11,7,4,11,7,4,"San Jose de Chiquitos, Bolivia",-17.8466764,-60.7413895
"1811","January 03, 1960","1040","Taksing, India","Indian Airlines",NA,NA,"Douglas C-47A","VT-CGG","12821","9 (passengers:5 crew:4)","9 (passengers:5 crew:4)",0,"The cargo plane crashed while dropping supplies and making a narrow turn in a valley. The accident was attributed to an error in navigation which caused the pilot to enter the wrong valley. During an attempt to turn back in a restricted area, the aircraft stalled and crashed.",1960-01-03,10:40:00,9,5,4,9,5,4,"Taksing, India",28.430022,93.340835
"1812","January 06, 1960","238","Wilmington/Bolivia, North Carolina","National Airlines","2511","New York - Miami","Douglas DC-6B","N8225H","43742/300","34 (passengers:29 crew:5)","34 (passengers:29 crew:5)",0,"The plane disintegrated in flight at 18,000 feet and crashed 1.5 miles northwest of Bolivia, North Carolina. Detonation of a dynamite bomb by means of dry cell batteries, in the vicinity of row 7, in the passenger cabin. The plane continued to fly for a short time after which the fuselage came apart and the plane crashed in a ball of flames. Julian Frank, who had purchased 1 million dollars in insurance, was suspected of committing suicide by detonating the bomb in his lap or under his seat. There is a possibility Frank may have been an unwitting bomb carrier and that this bombing has something to do with the National Airlines crash of November, 16, 1959. No one was charged in either case.",1960-01-06,02:38:00,34,29,5,34,29,5,"Wilmington/Bolivia, North Carolina",34.2367,-77.946197
"1813","January 10, 1960","1538","Gulf of Sirte","Military - U.S. Army",NA,"Misurata - Benghazi","de Havilland Canada U-1A Otter","55-2974","47","10 (passengers:9 crew:1)","10 (passengers:9 crew:1)",0,"Missing, never found.",1960-01-10,15:38:00,10,9,1,10,9,1,"Gul of Sirte",31.1898558,16.8326786
"1814","January 18, 1960","2219","Charles City, Virginia","Capital Airlines","20","Washington D.C. - Norfolk","Vickers Viscount 745D","N7462","217","50 (passengers:46 crew:4)","50 (passengers:46 crew:4)",0,"The aircraft crashed and burned in a wooded area, striking the ground in a level attitude. The delayed arming of the engine ice-protection systems while flying through icing conditions, causing eventual flame-out of the four engines. This condition existed for sufficient time to cause a drop in battery electrical energy, preventing the unfeathering and relighting of sufficient engines to maintain flight. The aircraft was then dived in an effort to attain sufficient airspeed to drive the propellers out of the feathered positions by wind-milling. At the same time, multiple attempts were made to relight one or more engines. Successful relights were either interrupted by auto-feather action initiated by premature advancing of the throttles prior to complete light up of an engine or prevented by insufficient battery electrical energy. No. 4 engine was eventually relit and the crew had just successfully relit No. 3 engine when the aircraft crashed.",1960-01-18,22:19:00,50,46,4,50,46,4,"Charles City, Virginia",37.341272,-77.075833
"1815","January 19, 1960","1847","Ankara, Turkey","Scandinavian Airlines (SAS)","871","Istanbul - Ankara","Sud Aviation Caravelle 1","OY-KRB","014/14","42 (passengers:35 crew:7)","42 (passengers:35 crew:7)",0,"While on a flight from Istanbul to Ankara, Turkey the aircraft crashed while on approach to Esenboga Airport, 6 nm short of the runway. The aircraft struck the ground at an elevation of 3,500 ft, between the Ankara mountain range and the airport. An unintentional descent below the authorized minimum flight altitude during final approach to Esenboga Airport for reasons that could not be determined. The aircraft was named ""Orm Viking.""",1960-01-19,18:47:00,42,35,7,42,35,7,"Ankara, Turkey",39.8965202,32.8619738
"1816","January 21, 1960",NA,"Montego Bay, Jamacia","AVIANCA","671","Miami - Montigo Bay","Lockheed 1049E Super Constellation","HK-177","4556","46 (passengers:39 crew:7)","37 (passengers:35 crew:2)",0,"A heavy landing led to structural failure and a fire. The adoption of a final approach path resulting in a heavy landing during which a major structural failure occurred in the port wing. Crew fatigue. Lack of proper training.",1960-01-21,NA,46,39,7,37,35,2,"Montego Bay, Jamacia",18.4684511,-77.9191509
"1817","January 26, 1960","1230","Off Bathurst Island, Australia","Transportes Aéreos de Timor",NA,"Darwin - Baucau","de Havilland DH-114 Heron 2D","CR-TAI","14132","9 (passengers:7 crew:2)","9 (passengers:7 crew:2)",0,"Radio contact was lost with the aircraft before it crashed into the ocean. Poor weather. Unqualified pilot.",1960-01-26,12:30:00,9,7,2,9,7,2,"Bathurst Island, Australia",-11.6169891,130.2774177
"1818","February 05, 1960","720","Cochabamba, Bolivia","Lloyd Aereo Boliviano",NA,"Cochabamba - La Paz","Douglas DC-4","CP-609","10510","59 (passengers:55 crew:4)","59 (passengers:55 crew:4)",0,"Few minutes after takeoff and reaching an altitude of 9,000 feet, the captain stated that an engine exploded. Shortly thereafter, the airplane went out of control and crashed in Laguna Huanacota, about 13 km south of the airport. A two-year-old girl survived but later died from her injuries.Investigators believed that the maximum takeoff weight was exceeded and this contributed to the engine exploding.",1960-02-05,07:20:00,59,55,4,59,55,4,"Cochabamba, Bolivia",-17.4038383,-66.1702864
"1819","February 25, 1960","1307","Rio de Janeiro, Brazil","REAL / Military - U.S. Navy",NA,"Campos - Rio de Janeiro","Douglas DC-3 / USN R4-D6","PP-AXD/131582","13326 / 43685-307","64 (passengers:53 crew:11)","61 (passengers:50 crew:11)",0,"Midair collision between a DC-3 and a US Navy R-6D. Improper piloting procedures when flying on authorized instrument flight (US Navy pilot). The pilot of the USN plane disobeyed instructions transmitted by Rio Approach Control. The U.S. Navy disagreed and placed no blame on neither pilot. Twenty six killed on the DC-3, 35 on the R4-D6. Members of the United States Navy Band among those killed.",1960-02-25,13:07:00,64,53,11,61,50,11,"Rio de Janeiro, Brazil",-22.9014475,-43.1789159
"1820","February 26, 1960","1657","Lvov-Snilow, Ukraine","Aeroflot","315","Moscow - Kiev - Lviv","Antonov 10A","CCCP-11180","9401801","33 (passengers:25 crew:8)","32 (passengers:24 crew:8)",0,"The plane crashed into a swamp short of the runway threshold. Icing of the horizontal stabilizer.",1960-02-26,16:57:00,33,25,8,32,24,8,"Lvov-Snilow, Ukraine",49.83826,24.02324
"1821","February 26, 1960",NA,"Shannon, Ireland","Alitalia",NA,"Rome - Shannon - Gander -New York City","Douglas DC-7C","I-DUVO","45231/945","52 (passengers:40 crew:12)","34 (passengers:23 crew:11)",0,"Lost altitude shortly after taking off and crashed. Cause unknown.",1960-02-26,NA,52,40,12,34,23,11,"Shannon, Ireland",52.7107429,-8.8789691
"1822","March 15, 1960",NA,"El Refugio, Colombia","Agencia Interamericana de Aviada",NA,"Aracacuara - Villavicencio","Consolidated PBY-5A Catalina","HK-1001E",NA,"13 (passengers:10 crew:3)","6 (passengers:4 crew:2)",0,"Crashed in the jungle en route.",1960-03-15,NA,13,10,3,6,4,2,"El Reugio, Colombia",2.4419752,-76.60077
